Progeny_ID,Sample_Type
P1782-1,DNA from Blood
P1808-1,DNA from Blood
P1811-1,DNA from Blood
P1815-1,DNA from Blood
P1818-1,DNA from Blood
P1846-1,DNA from Blood
P1847-1,DNA from Blood
P1867-1,DNA from Blood
P1875-1,DNA from Blood
P1876-1,DNA from Blood
P1877-1,DNA from Blood
P1883-1,DNA from Blood
P1887-1,DNA from Blood
P1893-1,DNA from Blood
P1906-1,DNA from Blood
P1931-1,DNA from Blood
P1932-1,DNA from Blood
P1952-1,DNA from Blood
P1959-1,DNA from Blood
P1960-1,DNA from Blood
P1976-1,DNA from Blood
P2022-1,DNA from Blood
P2026-1,DNA from Blood
P2032-1,DNA from Blood
P2195-1,DNA from Blood
P2383-1,DNA from Blood
P2390-4,DNA from Blood
P2426-1,DNA from Blood
P2444-1,DNA from Blood
P2613-1,DNA from Blood
P2663-1,DNA from Blood
P2663-4,DNA from Blood
P2663-5,DNA from Blood
P2728-1,DNA from Blood
P2767-4,DNA from Blood
P2785-7,DNA from Blood
P2831-1,DNA from Blood
P2838-1,DNA from Blood
P2844-1,DNA from Blood
P2848-1,DNA from Blood
P2888-1,DNA from Blood
P2895-1,DNA from Blood
P2896-1,DNA from Blood
P2902-1,DNA from Blood
P2903-1,DNA from Blood
P2909-1,DNA from Blood
P2919-1,DNA from Blood
P2934-4,DNA from Blood
P2939-1,DNA from Blood
P2965-1,DNA from Blood
P2971-1,DNA from Blood
P2996-1,DNA from Blood
P3006-1,DNA from Blood
P3008-1,DNA from Blood
P3009-1,DNA from Blood
P3012-1,DNA from Blood
P3023-1,DNA from Blood
P3038-1,DNA from Blood
P3055-1,DNA from Blood
P3070-1,DNA from Blood
P3075-1,DNA from Blood
P3076-1,DNA from Blood
P3082-1,DNA from Blood
P3085-1,DNA from Blood
P3086-1,DNA from Blood
P3089-1,DNA from Blood
P3093-1,DNA from Blood
P3094-1,DNA from Blood
P3097-1,DNA from Blood
P3098-1,DNA from Blood
P3099-1,DNA from Blood
P3101-1,DNA from Blood
P3102-1,DNA from Blood
P3108-1,DNA from Blood
P3112-1,DNA from Blood
P3113-1,DNA from Blood
P3119-1,DNA from Blood
P3119-4,DNA from Blood
P3120-1,DNA from Blood
P3127-1,DNA from Blood
P3128-1,DNA from Blood
P3130-1,DNA from Blood
P3134-1,DNA from Blood
P3135-1,DNA from Blood
P3136-1,DNA from Blood
P3166-1,DNA from Blood
P3188-1,DNA from Blood
P3201-1,DNA from Blood
P3209-1,DNA from Blood
P3210-1,DNA from Blood
