id,Progeny_ID,Family_ID,Aliquot_Label,Sample_Type,Fridge_Name,Shelf_No,Rack_Label,Project_Name,Researcher_Name,Date_Taken_Out,Original_Fridge,Original_Shelf,Original_Rack,Original_Drawer,Original_Box,Original_Well,Collection_Date,flag,Low_DNA,comments
,UROBOP0009-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0011-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0012-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0016-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0020-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0023-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0025-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0029-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0035-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0038-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0045-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0049-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0056-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0058-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0064-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0073-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0078-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0082-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0085-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0087-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0092-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0096-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0098-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0099-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0100-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0102-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0107-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0111-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROBOP0112-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROGE082-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROGE731-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROMI0060-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROMI0062-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,URONAP042-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,URONAP078-1,,,DNA from Blood,,,,,,,,,,,,,,,,
,UROPV036-1,,,DNA from Blood,,,,,,,,,,,,,,,,
